"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Giggles and Grins",21,0,"Post-Graduate","male","Viewer","Student","Comedy","52 mins","Winter",9926,"A true cinematic gem.",4,"4.5 stars","4.5 stars","5-17-2012","2017/8/14","1 hrs"
"Legends Unleashed",58,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","50 mins","Summer",4095,"An absolute disaster that failed to hold my attention.",9,"2.7 stars","2.9 stars","3-8-2009","2010/5/24","1 hrs"
"Hilarity Unleashed",29,2,"Completed College","male","Viewer","Employed","Comedy","28 mins","Fall",7590,"A cinematic masterpiece.",3,"3.9 stars","3.9 stars","3-10-2019","2020/7/9","2 hrs"
"The Adventurous Quest",28,1,"Completed College","female","Viewer","Unemployed","Action/Adventure","45 mins","Summer",9822,"A movie that failed to leave a strong impact.",9,"3.3 stars","3.4 stars","4-1-2011","2013/7/1","1 hrs"
"Frozen in Time",46,0,"Post-Graduate","female","Critic","Employed","Drama","31 mins","Winter",2736,"A regrettable watch that left me questioning my choices.",9,"2 stars","1.8 stars","10-15-1984","1987/12/20","1 hrs"
"Visions of Valor",58,0,"Post-Graduate","male","Viewer","Employed","Action/Adventure","4 mins","Fall",2574,"A movie that failed to deliver on its promises. Disappointing.",10,"2.3 stars","2.4 stars","12-21-1987","1989/1/16","2 hrs"
"Eternal Love",34,1,"Post-Graduate","female","Viewer","Employed","Romance","14 mins","Fall",997,"A disaster from start to finish. Don't waste your energy.",11,"2.5 stars","2.3 stars","10-12-2014","2016/5/3","2 hrs"
"Beneath the Surface",33,0,"Post-Graduate","female","Viewer","Employed","Drama","51 mins","Fall",9202,"A masterpiece of cinema.",4,"3.8 stars","3.7 stars","10-10-2011","2012/5/16","1 hrs"
"The Enigmatic Drama",66,0,"Completed High School","male","Viewer","Employed","Drama","34 mins","Summer",5690,"A cinematic masterpiece.",3,"3.8 stars","4 stars","11-14-2018","2020/10/2","1 hrs"
"Midnight Whispers",79,0,"Completed High School","female","Critic","Retired","Drama","30 mins","Summer",9341,"Not a standout, but it's not entirely forgettable.",9,"3.4 stars","3.5 stars","2-15-2012","2012/4/15","1 hrs"
"Silly Adventures",46,0,"Completed College","male","Viewer","Employed","Comedy","30 mins","Summer",607,"A middle-of-the-road movie that didn't leave a strong impression.",13,"3.2 stars","3.2 stars","10-28-2018","2019/7/22","2 hrs"
"Laughing Waters",19,0,"Post-Graduate","female","Viewer","Student","Comedy","18 mins","Spring",768,"A treasure trove of beauty and inspiration.",7,"3.5 stars","3.5 stars","12-17-2006","2010/7/1","2 hrs"
"Guardians of the Ancients",42,3,"Post-Graduate","male","Viewer","Employed","Action/Adventure","31 mins","Summer",3224,"A middle-of-the-road movie that didn't leave a strong impression.",13,"3.2 stars","3.4 stars","4-10-2014","2020/9/26","2 hrs"
"Odyssey of Legends",57,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","24 mins","Fall",7179,"A testament to the magic of cinema and storytelling.",9,"3.5 stars","3.4 stars","10-8-2011","2018/12/3","1 hrs"
"Laughing Waters",20,0,"Post-Graduate","female","Viewer","Student","Comedy","27 mins","Spring",768,"A film that didn't leave a lasting impact.",9,"3.4 stars","3.4 stars","2-23-2006","2010/10/28","1 hrs"
"Love in the Air",31,1,"Completed High School","female","Viewer","Employed","Romance","21 mins","Summer",6969,"A heartfelt triumph that resonates deeply.",6,"3.9 stars","4 stars","11-18-2018","2020/8/16","1 hrs"
"Lost Treasures",69,0,"Completed High School","female","Critic","Student","Action/Adventure","2 mins","Spring",4040,"A journey worth taking.",4,"3.5 stars","3.5 stars","12-22-2009","2014/1/1","2 hrs"
"Crazy Antics",80,0,"Post-Graduate","female","Viewer","Retired","Comedy","9 mins","Winter",6745,"An absolute joy to watch, full of heart and soul.",10,"4 stars","4.1 stars","1-15-1992","1993/2/4","2 hrs"
"Whispers of Hope",19,0,"Completed College","female","Viewer","Student","Drama","43 mins","Summer",389,"This movie is pure magic. It captures the essence of childhood dreams and takes you on an adventure.",18,"3.5 stars","3.4 stars","2-1-2018","2018/5/16","1 hrs"
"The Last Crusade",35,1,"Completed High School","female","Viewer","Employed","Action/Adventure","54 mins","Winter",4492,"A total misfire that left me questioning my movie choices.",10,"2.7 stars","2.8 stars","6-25-2015","2016/4/16","1 hrs"
"Stellar Explorers",48,1,"Post-Graduate","male","Viewer","Employed","Sci-Fi","28 mins","Fall",8106,"A movie that failed to make a memorable impression.",9,"2.9 stars","2.8 stars","3-24-2013","2018/11/8","1 hrs"
"In Search of Truth",52,0,"Completed High School","female","Critic","Employed","Other","19 mins","Summer",6040,"A movie that failed to deliver on its promises. Avoid at all costs.",13,"2.2 stars","2 stars","1-19-2007","2010/8/24","1 hrs"
"Odyssey of Hope",44,0,"Completed College","female","Viewer","Employed","Action/Adventure","32 mins","Summer",9797,"I expected more, but it fell short.",7,"3.1 stars","3.3 stars","7-1-2019","2020/11/6","1 hrs"
"Whispers of Hope",31,0,"Completed College","female","Viewer","Employed","Drama","7 mins","Summer",389,"Some moments were good, others not so much.",8,"3.3 stars","3.4 stars","12-27-2018","2018/7/14","2 hrs"
"Broken Promises",63,0,"Completed High School","female","Viewer","Employed","Drama","1 mins","Fall",5560,"An in-between experience that lacked a distinctive quality.",9,"3.2 stars","3.4 stars","7-22-2008","2011/11/7","2 hrs"
"Shattered Illusions",57,0,"Completed College","female","Critic","Employed","Drama","43 mins","Fall",8485,"Total letdown.",2,"2.7 stars","2.6 stars","3-2-2013","2022/8/13","1 hrs"
"Epic Discovery",46,0,"Completed High School","female","Viewer","Employed","Action/Adventure","9 mins","Fall",7677,"A film that didn't leave a lasting mark.",9,"2.9 stars","2.8 stars","5-3-1994","1997/1/10","2 hrs"
"Epic Discovery",49,0,"Completed College","male","Viewer","Unemployed","Action/Adventure","19 mins","Fall",7677,"A painful viewing experience that I won't soon forget.",10,"2.6 stars","2.7 stars","6-2-1994","2001/2/13","2 hrs"
"Eternal Sunshine",29,0,"Post-Graduate","female","Viewer","Employed","Drama","5 mins","Summer",4603,"Riveting from start to finish - a true gem.",8,"3.6 stars","3.4 stars","12-4-2017","2017/5/17","2 hrs"
"Eerie Echoes",45,0,"Post-Graduate","female","Critic","Employed","Horror","50 mins","Fall",9634,"An agonizing viewing experience that I wish I could forget.",10,"2.7 stars","2.5 stars","12-20-2018","2018/4/6","1 hrs"
"Laughter Therapy",56,0,"Post-Graduate","male","Viewer","Employed","Comedy","30 mins","Summer",2829,"I expected more, but it was just okay.",8,"3.2 stars","3.2 stars","3-9-1996","2001/12/2","1 hrs"
"Eternal Echoes",21,0,"Post-Graduate","female","Viewer","Employed","Drama","26 mins","Summer",7130,"A heartfelt and beautifully crafted cinematic journey.",7,"3.7 stars","3.9 stars","1-21-1992","1995/11/8","2 hrs"
"Frozen in Time",47,0,"Post-Graduate","male","Viewer","Employed","Drama","1 mins","Winter",2736,"A remarkable achievement that touched my heart.",7,"3.7 stars","3.6 stars","5-19-1984","1990/10/22","2 hrs"
"Beyond Boundaries",22,0,"Completed High School","male","Critic","Student","Other","49 mins","Fall",8184,"It's hard to form a strong opinion about it.",10,"2.9 stars","2.9 stars","8-25-2018","2019/6/17","1 hrs"
"Rise of the Phoenix",69,0,"Post-Graduate","male","Viewer","Employed","Action/Adventure","26 mins","Winter",6613,"An adequate effort that didn't leave a lasting impact.",10,"3.2 stars","3.2 stars","6-23-2006","2010/6/25","1 hrs"
"Joyful Journeys",32,2,"Completed College","female","Critic","Retired","Kids","57 mins","Spring",9030,"Terrible film.",2,"2.6 stars","2.6 stars","10-22-2005","2008/3/4","1 hrs"
"Guardians of the Ancients",29,1,"Completed College","female","Viewer","Employed","Action/Adventure","18 mins","Summer",3224,"I expected more, but this movie left me thoroughly dissatisfied.",10,"2.6 stars","2.5 stars","12-27-2014","2017/12/3","1 hrs"
"Heartstrings",28,2,"Completed College","male","Viewer","Employed","Romance","50 mins","Summer",5066,"An average outing that didn't evoke strong reactions.",9,"3.3 stars","3.4 stars","12-22-1991","1996/12/7","1 hrs"
"Shattered Reflections",55,0,"Completed High School","female","Critic","Employed","Drama","23 mins","Spring",2500,"Predictable and utterly unimpressive.",4,"2.3 stars","2.4 stars","2-2-2017","2017/6/23","2 hrs"
"Endless Love",39,1,"Completed High School","female","Viewer","Employed","Romance","34 mins","Spring",3185,"The performances were top-notch, leaving me in awe.",9,"3.9 stars","4 stars","11-21-2016","2016/11/3","2 hrs"
"Whispers in the Dark",33,1,"Completed College","female","Critic","Employed","Horror","31 mins","Spring",2052,"I couldn't wait for this movie to be over. It was painful to watch, and I had no emotional investment in the characters.",24,"2.3 stars","2.3 stars","7-7-2020","2020/4/3","1 hrs"
"Broken Promises",18,2,"Post-Graduate","female","Viewer","Employed","Drama","25 mins","Fall",5560,"An extraordinary journey that left me inspired.",7,"3.6 stars","3.7 stars","1-2-2008","2013/9/5","2 hrs"
"Rise of the Phoenix",73,0,"Post-Graduate","female","Critic","Retired","Action/Adventure","5 mins","Winter",6613,"Regretful choice.",2,"2.5 stars","2.4 stars","12-26-2006","2013/6/10","2 hrs"
"Stellar Explorers",58,0,"Post-Graduate","male","Viewer","Employed","Sci-Fi","27 mins","Fall",8106,"Total letdown.",2,"2.7 stars","2.6 stars","10-24-2013","2018/9/2","2 hrs"
