"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Sweet Serenade",55,2,"Completed College","male","Viewer","Employed","Romance","52 mins","Fall",3730,"A cinematic disaster that I wish I could erase from memory.",11,"2.2 stars","2.2 stars","1-3-1996","2004/4/28","1 hrs"
"Chronicles of Destiny",65,0,"Completed College","female","Viewer","Employed","Action/Adventure","16 mins","Fall",4695,"I couldn't stand this film. The characters were unlikable, the story was dull, and it left me feeling disappointed.",20,"2.6 stars","2.6 stars","2-12-2000","2004/4/1","1 hrs"
"Realm of Legends",33,1,"Completed College","female","Viewer","Employed","Action/Adventure","53 mins","Summer",7968,"An uninspired and regrettable mess that I won't soon forget.",11,"2.7 stars","2.8 stars","7-27-1996","2002/2/21","1 hrs"
"Legends Reborn",49,1,"Completed College","female","Critic","Employed","Action/Adventure","7 mins","Fall",5896,"A complete letdown that left me frustrated and annoyed.",9,"2.4 stars","2.3 stars","7-19-2008","2010/9/27","2 hrs"
"Sweet Serenade",48,3,"Post-Graduate","female","Critic","Employed","Romance","17 mins","Fall",3730,"I expected more from this movie, but it was a letdown. The story was predictable, and the acting was mediocre.",20,"1.8 stars","1.7 stars","1-2-1996","2001/2/23","1 hrs"
"Futuristic Frontiers",47,3,"Post-Graduate","male","Viewer","Employed","Sci-Fi","19 mins","Winter",2755,"I can't believe I sat through this garbage. The writing was terrible, and the acting was worse.",18,"2.6 stars","2.5 stars","8-21-1988","1992/10/25","1 hrs"
"Silly Adventures",27,2,"Post-Graduate","male","Critic","Employed","Comedy","35 mins","Summer",607,"A movie that fell short of my expectations.",8,"3.2 stars","3 stars","9-8-2018","2020/12/5","2 hrs"
"Echoes of Valor",50,0,"Completed High School","female","Viewer","Unemployed","Action/Adventure","1 mins","Winter",5527,"I found this movie to be utterly disappointing, with a plot that made no sense, and characters I couldn't care less about. Avoid it.",25,"2.3 stars","2.3 stars","3-7-2020","2022/6/23","2 hrs"
"Guardians of Destiny",41,1,"Completed College","male","Viewer","Employed","Action/Adventure","35 mins","Winter",374,"Boring and dull.",3,"2.1 stars","2.1 stars","8-3-2004","2006/3/11","1 hrs"
"Clash of Titans",58,0,"Completed High School","male","Viewer","Employed","Action/Adventure","29 mins","Summer",3638,"I can't believe I wasted my time on this film. The characters were unlikable, and the story was boring.",20,"2.4 stars","2.4 stars","11-6-2015","2015/6/16","2 hrs"
"Beyond Boundaries",48,1,"Completed High School","female","Critic","Employed","Other","31 mins","Fall",8184,"A movie that failed to live up to its potential. Disappointing.",11,"2.6 stars","2.7 stars","6-5-2018","2020/5/3","1 hrs"
"Whimsical Whispers",31,1,"Post-Graduate","female","Viewer","Employed","Comedy","26 mins","Summer",6627,"A heartfelt and beautifully crafted cinematic journey.",7,"4.2 stars","4.4 stars","11-27-2020","2020/4/12","2 hrs"
"Empire of Shadows",57,0,"Post-Graduate","female","Viewer","Student","Action/Adventure","43 mins","Summer",9606,"An absolute delight!",3,"4 stars","3.8 stars","5-12-2017","2019/7/24","1 hrs"
"Galactic Odyssey",55,0,"Completed High School","female","Critic","Student","Sci-Fi","35 mins","Winter",3673,"It's not a standout film, but it's not terrible either.",12,"3.2 stars","3.4 stars","5-17-2010","2013/1/20","1 hrs"
"Midnight Whispers",35,0,"Completed High School","female","Viewer","Employed","Drama","30 mins","Summer",9341,"An extraordinary journey that touched my soul.",7,"3.7 stars","3.6 stars","10-7-2012","2019/4/9","1 hrs"
"Shattered Reflections",38,1,"Post-Graduate","female","Critic","Employed","Drama","36 mins","Spring",2500,"I expected more, but it didn't disappoint entirely.",9,"2.9 stars","2.9 stars","1-23-2017","2019/6/11","1 hrs"
"Whispers in the Dark",80,0,"Post-Graduate","male","Viewer","Retired","Horror","8 mins","Spring",2052,"A cinematic catastrophe. The plot was a jumbled mess, and the characters were unlikable.",14,"2.6 stars","2.6 stars","11-6-2020","2021/1/8","2 hrs"
"Echoes of Eternity",48,1,"Post-Graduate","female","Critic","Employed","Drama","52 mins","Summer",7245,"Laughing Waters is a cinematic masterpiece. The cinematography and storytelling were impeccable. This film is a true work of art.",20,"3.5 stars","3.4 stars","3-17-1998","2000/8/18","1 hrs"
"Realm of Legends",35,0,"Post-Graduate","female","Critic","Employed","Action/Adventure","46 mins","Summer",7968,"I can't believe I wasted my time on this garbage. The story made no sense, and I couldn't care less about the characters.",25,"2.3 stars","2.3 stars","4-2-1996","2003/3/26","1 hrs"
"Realm of Legends",33,0,"Post-Graduate","male","Viewer","Retired","Action/Adventure","7 mins","Summer",7968,"I wouldn't rush to see it again, but it was okay.",12,"3 stars","2.9 stars","11-11-1996","2002/6/4","2 hrs"
