"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Visions of Valor",76,0,"Post-Graduate","female","Critic","Retired","Action/Adventure","21 mins","Fall",2574,"I've never been so disappointed by a film. The acting was subpar, and the story was a snooze fest.",20,"1.8 stars","2 stars","10-17-1987","1989/11/9","1 hrs"
"Joyful Journeys",80,0,"Post-Graduate","male","Viewer","Employed","Kids","14 mins","Spring",9030,"It's an average movie, nothing to rave about.",9,"3.3 stars","3.1 stars","11-16-2005","2006/11/21","2 hrs"
"Eerie Echoes",66,0,"Post-Graduate","male","Critic","Employed","Horror","13 mins","Fall",9634,"A film that lacked any semblance of quality or coherence.",10,"2.4 stars","2.5 stars","2-2-2018","2019/1/11","2 hrs"
"Legends of Winter",65,0,"Post-Graduate","female","Viewer","Employed","Drama","9 mins","Fall",2617,"This film was a disaster. The script felt like it was written by a five-year-old, and the acting was equally amateurish.",23,"2.7 stars","2.5 stars","4-20-2006","2008/5/23","2 hrs"
"Love's Embrace",43,1,"Completed High School","male","Viewer","Employed","Romance","17 mins","Winter",9616,"I can't say I loved it, but I didn't hate it either.",14,"3.2 stars","3.3 stars","4-12-1983","1986/4/18","2 hrs"
"Quest for the Crystal",22,0,"Post-Graduate","male","Critic","Student","Action/Adventure","15 mins","Summer",3611,"I expected more, but this movie left me thoroughly disappointed.",10,"2.3 stars","2.3 stars","8-1-1996","1997/11/1","1 hrs"
"Legends Unleashed",47,1,"Post-Graduate","female","Viewer","Employed","Action/Adventure","11 mins","Summer",4095,"A film that didn't fully engage me but had its moments.",12,"3.4 stars","3.3 stars","1-15-2009","2010/10/7","2 hrs"
"Beyond the Stars",47,1,"Post-Graduate","male","Viewer","Employed","Sci-Fi","30 mins","Summer",3305,"A decent movie, but it didn't quite meet my expectations. Some parts were enjoyable.",15,"3.2 stars","3.1 stars","2-15-1997","1998/12/18","2 hrs"
"The Hilarious Movie",48,0,"Completed College","male","Critic","Employed","Comedy","30 mins","Winter",1399,"A movie that failed to deliver on its promises. Avoid at all costs.",13,"2.2 stars","2.4 stars","10-20-2014","2018/7/28","2 hrs"
"Odyssey of Legends",45,0,"Post-Graduate","female","Critic","Employed","Action/Adventure","15 mins","Fall",7179,"A film that left me bewildered and completely unimpressed.",9,"2.2 stars","2.2 stars","1-15-2011","2018/11/19","2 hrs"
"Wanderlust",73,0,"Completed College","male","Viewer","Retired","Other","38 mins","Summer",3716,"Awful plot.",2,"2.6 stars","2.7 stars","2-20-1998","1999/9/15","1 hrs"
"Hilarity Unleashed",77,0,"Completed High School","female","Viewer","Unemployed","Comedy","28 mins","Fall",7590,"I was hooked from the first scene. The suspense and excitement never let up. A must-see thriller!",18,"3.7 stars","3.8 stars","4-19-2019","2021/12/27","2 hrs"
"Legends of Winter",65,0,"Post-Graduate","female","Viewer","Employed","Drama","24 mins","Fall",2617,"A decent attempt that fell short of my expectations.",9,"2.9 stars","2.9 stars","11-19-2006","2006/3/23","1 hrs"
"Legends Unleashed",30,1,"Completed High School","female","Viewer","Employed","Action/Adventure","18 mins","Summer",4095,"An uninspired and forgettable mess that isn't worth your time.",11,"2.7 stars","2.8 stars","7-23-2009","2014/4/23","1 hrs"
"Midnight Whispers",48,3,"Completed College","male","Viewer","Employed","Drama","45 mins","Summer",9341,"Cinematic excellence shines.",3,"4.5 stars","4.4 stars","6-3-2012","2017/12/23","1 hrs"
"Whispers of Fate",75,0,"Post-Graduate","male","Viewer","Retired","Drama","7 mins","Fall",8887,"Overflowing with beauty and heartfelt sincerity.",6,"3.5 stars","3.5 stars","5-4-2009","2011/12/24","2 hrs"
"The Adventurous Quest",58,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","21 mins","Summer",9822,"A neutral watch that didn't evoke strong emotions.",9,"3.2 stars","3.4 stars","8-24-2011","2013/4/14","1 hrs"
"Beyond Boundaries",31,1,"Post-Graduate","female","Viewer","Employed","Other","16 mins","Fall",8184,"A movie that lacked the depth I was hoping for.",10,"3.3 stars","3.2 stars","8-19-2018","2019/11/4","2 hrs"
"Heartstrings",39,3,"Completed High School","male","Viewer","Employed","Romance","33 mins","Summer",5066,"A neutral effort that didn't quite hit the mark.",10,"3 stars","3.1 stars","3-6-1991","1993/8/13","1 hrs"
