"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Under the Rainbow",40,0,"Post-Graduate","female","Viewer","Employed","Kids","28 mins","Summer",530,"One of the worst movies I've ever seen. It was painful to sit through. The plot was nonsensical, and the acting was atrocious.",24,"2.3 stars","2.4 stars","11-19-1996","1997/6/8","1 hrs"
"Guardians of the Ancients",42,1,"Completed High School","female","Viewer","Unemployed","Action/Adventure","27 mins","Summer",3224,"Some scenes were interesting, others were forgettable.",7,"3.1 stars","3 stars","1-12-2014","2024/11/15","1 hrs"
"Raiders of the Unknown",39,0,"Completed High School","male","Viewer","Retired","Action/Adventure","46 mins","Summer",6957,"A middle-of-the-road effort that didn't stand out.",11,"3.3 stars","3.3 stars","5-20-2018","2019/7/28","1 hrs"
"Raiders of the Unknown",67,0,"Completed High School","male","Critic","Retired","Action/Adventure","40 mins","Summer",6957,"A lackluster attempt that left me bored and unenthusiastic.",9,"2.5 stars","2.3 stars","7-8-2018","2019/7/6","1 hrs"
"Mystic Shadows",20,0,"Completed High School","female","Viewer","Employed","Drama","17 mins","Summer",1455,"An adequate effort that didn't leave a lasting impact.",10,"2.8 stars","2.7 stars","12-28-2010","2016/8/9","2 hrs"
"Beyond Boundaries",42,1,"Post-Graduate","female","Viewer","Employed","Other","48 mins","Fall",8184,"A visual and emotional feast for the senses.",8,"3.5 stars","3.5 stars","1-16-2018","2019/3/27","1 hrs"
"Crazy Antics",18,0,"Completed High School","male","Viewer","Employed","Comedy","10 mins","Winter",6745,"An in-between experience that left me with mixed thoughts.",10,"3.4 stars","3.3 stars","2-6-1992","1998/9/25","2 hrs"
"Crimson Echoes",44,2,"Post-Graduate","female","Viewer","Employed","Drama","14 mins","Fall",955,"I didn't love it, but I didn't hate it either.",12,"3.4 stars","3.5 stars","8-20-1995","1995/10/25","2 hrs"
"The Hilarious Movie",45,1,"Post-Graduate","female","Viewer","Employed","Comedy","32 mins","Winter",1399,"Not the best, but it was bearable.",7,"3.3 stars","3.1 stars","5-4-2014","2022/2/21","2 hrs"
"Lost Horizon",52,0,"Completed High School","female","Critic","Employed","Drama","42 mins","Spring",2643,"A middle-of-the-road film with its moments of intrigue.",11,"2.9 stars","2.9 stars","4-28-2018","2018/5/26","1 hrs"
"Lost Treasures",45,1,"Post-Graduate","male","Critic","Employed","Action/Adventure","6 mins","Spring",4040,"A complete trainwreck of a movie. The acting was wooden, and the plot was a jumbled mess.",17,"2.7 stars","2.7 stars","6-22-2009","2017/12/20","2 hrs"
"The Adventurous Quest",58,0,"Completed College","male","Viewer","Employed","Action/Adventure","35 mins","Summer",9822,"I wouldn't rush to see it again, but it was okay.",12,"3 stars","3 stars","9-5-2011","2011/1/18","1 hrs"
"Whimsical Whispers",45,1,"Post-Graduate","male","Viewer","Employed","Comedy","28 mins","Summer",6627,"The performances were top-notch, leaving me in awe.",9,"3.8 stars","3.8 stars","12-22-2020","2021/4/7","2 hrs"
"Beyond the Horizon",47,1,"Post-Graduate","female","Viewer","Student","Action/Adventure","47 mins","Spring",6820,"Lives up to its name. It's an enchanting story that explores the depths of human nature. The performances were exceptional.",21,"4.2 stars","4.2 stars","10-2-2010","2013/3/20","1 hrs"
"Tales of Tiny Explorers",73,0,"Completed College","female","Viewer","Retired","Kids","22 mins","Fall",4368,"I didn't love it, but I didn't hate it either.",12,"2.8 stars","2.9 stars","9-6-2002","2003/2/14","2 hrs"
