"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Guardians of the Ancients",47,1,"Completed College","male","Viewer","Employed","Action/Adventure","30 mins","Summer",3224,"I expected more, but it was just okay.",8,"3.3 stars","3.2 stars","6-3-2014","2021/12/2","1 hrs"
"Quest for the Crystal",57,1,"Completed College","male","Viewer","Employed","Action/Adventure","36 mins","Summer",3611,"I found it to be just average. Nothing special.",9,"3.2 stars","3.3 stars","12-3-1996","2000/12/20","1 hrs"
"Frozen in Time",31,3,"Post-Graduate","female","Viewer","Employed","Drama","29 mins","Winter",2736,"A middle-of-the-road movie. It didn't stand out in any way.",14,"3.3 stars","3.4 stars","2-14-1984","1986/12/5","2 hrs"
"Beyond the Stars",52,0,"Completed College","male","Viewer","Employed","Sci-Fi","52 mins","Summer",3305,"A disaster from start to finish. Save yourself the agony.",10,"2.4 stars","2.6 stars","11-1-1997","1997/3/15","1 hrs"
"Empire of Shadows",76,0,"Post-Graduate","male","Viewer","Unemployed","Action/Adventure","14 mins","Summer",9606,"An emotional journey that left me both moved and inspired.",10,"4.2 stars","4.2 stars","12-13-2017","2019/1/4","2 hrs"
"Rolling on the Floor",24,0,"Post-Graduate","male","Viewer","Employed","Comedy","39 mins","Summer",410,"Captivating and emotionally charged from start to finish.",8,"3.9 stars","3.8 stars","3-13-2015","2015/7/12","1 hrs"
"Guardians of Destiny",44,1,"Completed College","male","Viewer","Employed","Action/Adventure","59 mins","Winter",374,"A film that was neither remarkable nor forgettable.",8,"2.8 stars","3 stars","4-14-2004","2004/8/16","1 hrs"
"The Last Crusade",64,0,"Post-Graduate","male","Critic","Employed","Action/Adventure","53 mins","Winter",4492,"I found this movie to be utterly disappointing, with a plot that made no sense, and characters I couldn't care less about. Avoid it.",25,"2.3 stars","2.2 stars","2-16-2015","2017/11/9","1 hrs"
"Shattered Illusions",50,1,"Post-Graduate","male","Critic","Employed","Drama","4 mins","Fall",8485,"A film that didn't fully engage me but had its moments.",12,"2.9 stars","3 stars","10-6-2013","2015/12/20","2 hrs"
"Epic Discovery",76,1,"Completed College","male","Viewer","Retired","Action/Adventure","16 mins","Fall",7677,"A heartfelt and inspiring journey worth taking.",7,"3.7 stars","3.8 stars","2-21-1994","1996/10/20","2 hrs"
"The Uncharted Journey",72,0,"Post-Graduate","male","Viewer","Retired","Action/Adventure","19 mins","Fall",3948,"A waste of time and money. I can't recommend it.",11,"2.4 stars","2.4 stars","3-25-2007","2011/9/19","2 hrs"
"Whispers in the Dark",33,0,"Completed High School","male","Critic","Employed","Horror","3 mins","Spring",2052,"I can't believe I sat through this garbage. The writing was terrible, and the acting was worse.",18,"2 stars","2 stars","10-2-2020","2022/3/19","2 hrs"
"Enchanted Playtime",56,0,"Completed High School","female","Critic","Employed","Kids","17 mins","Spring",1041,"A film that was as dull as it was disappointing.",10,"1 stars","1.1 stars","4-15-2004","2005/11/5","2 hrs"
"In Search of Truth",26,1,"Post-Graduate","female","Viewer","Employed","Other","59 mins","Summer",6040,"Outstanding performances throughout.",3,"3.5 stars","3.5 stars","3-3-2007","2013/6/13","1 hrs"
"Guardians of the Ancients",37,1,"Post-Graduate","female","Viewer","Employed","Action/Adventure","6 mins","Summer",3224,"A passable cinematic endeavor that didn't stand out.",9,"3.1 stars","3.1 stars","11-9-2014","2018/1/18","2 hrs"
"Requiem for a Dream",65,0,"Completed College","female","Critic","Employed","Drama","23 mins","Winter",3517,"Terrible. Just terrible. The script was terrible, the acting was terrible, and I regret ever watching it.",17,"2.3 stars","2.2 stars","1-20-2008","2010/9/10","2 hrs"
"Odyssey of Legends",44,0,"Completed College","female","Viewer","Employed","Action/Adventure","34 mins","Fall",7179,"An agonizing viewing experience that I won't soon forget.",10,"2.6 stars","2.4 stars","6-22-2011","2019/9/14","2 hrs"
"Under the Rainbow",53,1,"Post-Graduate","male","Viewer","Employed","Kids","52 mins","Summer",530,"An average outing that didn't fully connect.",8,"2.8 stars","2.9 stars","11-20-1996","2002/2/1","1 hrs"
"Whispers of Hope",62,0,"Post-Graduate","female","Viewer","Employed","Drama","7 mins","Summer",389,"A middle-of-the-road movie. It didn't stand out in any way.",14,"3 stars","2.9 stars","5-14-2018","2018/10/12","2 hrs"
"Unbreakable Bonds",23,1,"Completed High School","female","Viewer","Unemployed","Romance","2 mins","Spring",6916,"An adequate effort that didn't quite shine.",8,"3.4 stars","3.3 stars","9-7-2015","2016/8/26","2 hrs"
"Beyond Boundaries",33,3,"Completed High School","male","Viewer","Employed","Other","35 mins","Fall",8184,"A neutral effort that didn't quite hit the mark.",10,"3.3 stars","3.5 stars","9-12-2018","2020/6/9","2 hrs"
"Adventures of the Little Ones",61,1,"Completed College","male","Viewer","Employed","Kids","1 mins","Summer",8607,"A stunning testament to the power of cinema.",8,"4.1 stars","4.2 stars","1-15-1997","2003/7/16","2 hrs"
"Midnight Shadows",43,1,"Post-Graduate","female","Viewer","Employed","Horror","18 mins","Summer",4464,"A passable movie that didn't leave a strong impression.",10,"3.2 stars","3.3 stars","7-18-1995","1997/8/3","1 hrs"
"Secret of the Ancients",33,0,"Completed College","female","Critic","Employed","Action/Adventure","29 mins","Summer",9029,"It's an average film, nothing more, nothing less.",9,"3.2 stars","3.2 stars","10-24-2020","2021/5/1","2 hrs"
"Dark Descent",44,0,"Completed College","female","Viewer","Unemployed","Horror","20 mins","Spring",2185,"I expected more, but this movie left me thoroughly disappointed.",10,"1.9 stars","1.8 stars","12-12-2015","2016/6/9","1 hrs"
"Echoes of Valor",18,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","26 mins","Winter",5527,"Some moments were good, others not so much.",8,"2.9 stars","3 stars","1-17-2020","2021/5/17","2 hrs"
"Beyond the Horizon",23,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","27 mins","Spring",6820,"A film that didn't fully connect with me.",9,"2.9 stars","2.9 stars","2-7-2010","2013/11/17","1 hrs"
"A Glimpse Through Time",48,1,"Completed College","female","Viewer","Employed","Other","45 mins","Fall",8842,"A painful and frustrating viewing experience. Disheartening.",7,"2.7 stars","2.7 stars","1-22-1989","1994/3/23","1 hrs"
"Beneath the Surface",18,0,"Completed College","female","Viewer","Student","Drama","26 mins","Fall",9202,"A heartfelt and beautifully realized masterpiece.",6,"4.1 stars","3.9 stars","8-21-2011","2013/1/9","1 hrs"
"Realm of Legends",45,0,"Completed College","female","Viewer","Unemployed","Action/Adventure","35 mins","Summer",7968,"A stunning testament to the power of cinema.",8,"3.6 stars","3.5 stars","1-20-1996","2004/10/14","1 hrs"
"Giggles and Grins",49,0,"Post-Graduate","female","Critic","Employed","Comedy","8 mins","Winter",9926,"An in-between experience that hovered in mediocrity.",8,"3 stars","3.2 stars","12-11-2012","2012/1/27","2 hrs"
