"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Visions of Valor",27,2,"Post-Graduate","female","Viewer","Employed","Action/Adventure","11 mins","Fall",2574,"I wanted to like this movie, but it was a letdown. The dialogue was cringe-worthy, and the story felt rushed.",21,"2.7 stars","2.9 stars","5-2-1987","1995/1/21","2 hrs"
"Hilarity Unleashed",43,1,"Completed College","female","Viewer","Employed","Comedy","30 mins","Fall",7590,"Pure cinematic joy that brought tears to my eyes.",9,"4.2 stars","4.2 stars","5-2-2019","2019/6/27","2 hrs"
"Soulbound",65,0,"Post-Graduate","male","Viewer","Employed","Drama","18 mins","Fall",1618,"An emotional rollercoaster that left me in awe. The captivating plot and outstanding acting made this film a true gem. I couldn't stop thinking about it long after the credits rolled.",32,"3.7 stars","3.6 stars","4-9-2010","2017/1/25","1 hrs"
"Amour Forever",43,1,"Post-Graduate","female","Critic","Employed","Romance","51 mins","Fall",6251,"A movie that failed to live up to its potential. Disappointing.",11,"2.7 stars","2.7 stars","11-22-2004","2007/7/2","1 hrs"
"In Search of Truth",54,1,"Completed College","female","Critic","Employed","Other","5 mins","Summer",6040,"A movie that left me uninterested and thoroughly unmoved.",9,"2.4 stars","2.5 stars","10-13-2007","2016/10/7","2 hrs"
"Eternal Echoes",80,0,"Completed College","female","Viewer","Retired","Drama","6 mins","Summer",7130,"Lives up to its name. It's an enchanting story that explores the depths of human nature. The performances were exceptional.",21,"4 stars","4.1 stars","3-19-1992","1997/7/13","2 hrs"
"Visions of Valor",80,0,"Completed College","female","Critic","Retired","Action/Adventure","41 mins","Fall",2574,"This movie was a complete mess. The editing was choppy, and the plot was all over the place.",18,"1.8 stars","1.9 stars","9-22-1987","1991/11/2","1 hrs"
"Legends Unleashed",73,0,"Completed College","female","Critic","Retired","Action/Adventure","34 mins","Summer",4095,"An agonizing viewing experience that I won't soon forget.",10,"2.4 stars","2.3 stars","2-28-2009","2011/3/11","2 hrs"
"Requiem for a Dream",80,0,"Post-Graduate","female","Critic","Retired","Drama","27 mins","Winter",3517,"An uninspired mess that left me wondering why I bothered.",10,"2.5 stars","2.5 stars","7-5-2008","2015/11/2","2 hrs"
"Enchanted Hearts",28,1,"Post-Graduate","male","Viewer","Employed","Romance","30 mins","Summer",9467,"A journey worth taking.",4,"4.3 stars","4.5 stars","11-19-2019","2020/10/20","2 hrs"
"In Search of Truth",40,0,"Completed High School","female","Critic","Employed","Other","48 mins","Summer",6040,"I expected more, but this movie left me thoroughly dissatisfied.",10,"2.3 stars","2.3 stars","10-21-2007","2014/4/9","1 hrs"
"Beyond the Stars",80,0,"Post-Graduate","female","Critic","Retired","Sci-Fi","7 mins","Summer",3305,"A lackluster attempt that left me bored and unenthused.",9,"2.3 stars","2.3 stars","6-6-1997","2005/8/14","2 hrs"
"Empire of Shadows",62,0,"Completed College","female","Viewer","Unemployed","Action/Adventure","27 mins","Summer",9606,"A film that didn't leave a lasting impression.",9,"3.4 stars","3.3 stars","1-9-2017","2018/7/27","2 hrs"
"Whispers of Hope",63,0,"Completed College","male","Critic","Employed","Drama","16 mins","Summer",389,"I had high hopes for this movie, but it let me down in every way. The plot was confusing, and the acting was terrible.",24,"2.6 stars","2.4 stars","1-1-2018","2018/9/18","2 hrs"
"Mystic Shadows",70,0,"Post-Graduate","female","Viewer","Retired","Drama","18 mins","Summer",1455,"It didn't wow me, but it was watchable. A so-so film with some redeeming qualities.",17,"2.9 stars","3.1 stars","8-28-2010","2011/10/3","1 hrs"
"Eternal Sunshine",59,0,"Post-Graduate","male","Viewer","Employed","Drama","52 mins","Summer",4603,"Incredible! I was glued to the screen from start to finish. The acting and direction are top-notch.",18,"4.5 stars","4.4 stars","1-16-2017","2019/1/15","1 hrs"
"The Adventurous Quest",79,0,"Completed College","female","Critic","Retired","Action/Adventure","17 mins","Summer",9822,"It's hard to form a strong opinion about it.",10,"2.8 stars","2.8 stars","1-1-2011","2019/4/18","2 hrs"
