"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"The Hilarious Movie",32,1,"Post-Graduate","female","Viewer","Employed","Comedy","35 mins","Winter",1399,"It's an average film, nothing more, nothing less.",9,"3.3 stars","3.3 stars","8-28-2014","2020/7/20","1 hrs"
"Love's Embrace",59,0,"Completed High School","female","Viewer","Employed","Romance","17 mins","Winter",9616,"The worst film I've seen in years. It was painful to sit through, and I left the theater feeling angry and cheated.",23,"2.3 stars","2.4 stars","7-22-1983","1986/8/14","1 hrs"
"Shattered Reflections",75,0,"Completed College","female","Critic","Employed","Drama","47 mins","Spring",2500,"A movie that failed to live up to its potential. Disappointing.",11,"2.4 stars","2.4 stars","4-2-2017","2017/10/16","1 hrs"
"Legends Reborn",41,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","11 mins","Fall",5896,"I wasn't blown away, but it was decent.",9,"3.3 stars","3.2 stars","10-25-2008","2008/7/9","2 hrs"
"Odyssey of Legends",47,0,"Completed High School","female","Critic","Employed","Action/Adventure","33 mins","Fall",7179,"Regret watching this, waste of time.",6,"1.7 stars","1.6 stars","5-19-2011","2016/12/26","1 hrs"
"The Enigmatic Drama",52,1,"Post-Graduate","male","Critic","Employed","Drama","42 mins","Summer",5690,"A movie that hovered in the middle ground for me.",10,"3.4 stars","3.4 stars","12-18-2018","2018/3/17","1 hrs"
"Realm of Illusions",70,0,"Post-Graduate","male","Critic","Retired","Drama","33 mins","Summer",1520,"A painful viewing experience that I won't soon forget.",10,"2.4 stars","2.2 stars","2-2-2005","2008/12/22","2 hrs"
"Adventures of the Little Ones",63,0,"Completed College","female","Viewer","Employed","Kids","32 mins","Summer",8607,"A decent movie, but it didn't quite meet my expectations. Some parts were enjoyable.",15,"3.2 stars","3 stars","5-17-1997","2004/9/12","1 hrs"
"Innocence Lost",39,0,"Post-Graduate","male","Viewer","Employed","Drama","7 mins","Summer",3260,"Utterly compelling and artistically captivating.",5,"3.9 stars","3.9 stars","11-4-2011","2013/8/23","2 hrs"
"Sweet Serenade",37,0,"Post-Graduate","male","Viewer","Employed","Romance","53 mins","Fall",3730,"A movie that left me uninterested and thoroughly disappointed.",9,"2.3 stars","2.4 stars","5-10-1996","2004/1/26","1 hrs"
"Legends Reborn",50,1,"Completed High School","female","Viewer","Employed","Action/Adventure","53 mins","Fall",5896,"A film with potential that didn't quite soar.",9,"2.9 stars","2.9 stars","5-11-2008","2010/3/3","1 hrs"
"Edge of Eternity",29,1,"Post-Graduate","female","Viewer","Employed","Drama","52 mins","Winter",4137,"A film that hovered in mediocrity without standing out.",9,"3.4 stars","3.3 stars","2-13-2018","2019/3/2","1 hrs"
"Cosmic Adventures",18,0,"Completed College","female","Critic","Employed","Sci-Fi","15 mins","Fall",8655,"A disappointment from start to finish. Don't waste your time.",11,"2.1 stars","2.2 stars","5-1-2012","2013/1/26","2 hrs"
"Raiders of the Unknown",35,1,"Completed College","male","Viewer","Unemployed","Action/Adventure","8 mins","Summer",6957,"A captivating journey.",3,"3.6 stars","3.6 stars","6-27-2018","2020/9/10","2 hrs"
"Lost Treasures",50,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","17 mins","Spring",4040,"I can't say it's great, but it's not awful either.",13,"3.2 stars","3.4 stars","2-20-2009","2015/4/4","1 hrs"
"Lost Treasures",48,0,"Post-Graduate","female","Viewer","Employed","Action/Adventure","9 mins","Spring",4040,"An okay narrative that lacked a distinct identity.",8,"3.2 stars","3.1 stars","2-24-2009","2012/8/5","2 hrs"
"Beyond Boundaries",43,1,"Completed High School","female","Viewer","Employed","Other","1 mins","Fall",8184,"A narrative that hovered in mediocrity without standing out.",9,"3.2 stars","3.3 stars","9-23-2018","2020/3/2","2 hrs"
"Odyssey of Hope",18,1,"Post-Graduate","female","Critic","Employed","Action/Adventure","31 mins","Summer",9797,"A movie that falls in the middle, not outstanding.",9,"3.1 stars","3.3 stars","4-26-2019","2021/9/22","1 hrs"
"Shattered Reflections",47,1,"Completed College","male","Viewer","Employed","Drama","18 mins","Spring",2500,"Movie perfection achieved.",3,"3.8 stars","3.9 stars","8-27-2017","2017/7/16","2 hrs"
"Soulbound",50,1,"Post-Graduate","male","Critic","Employed","Drama","18 mins","Fall",1618,"Hated it.",2,"2.5 stars","2.6 stars","9-25-2010","2020/12/20","1 hrs"
"Laughter Therapy",80,0,"Completed College","female","Viewer","Retired","Comedy","46 mins","Summer",2829,"An exquisite blend of artistry and emotion.",7,"3.8 stars","3.8 stars","9-23-1996","2003/5/21","1 hrs"
"Quest for Glory",18,1,"Post-Graduate","male","Viewer","Employed","Action/Adventure","15 mins","Spring",8533,"Loved every minute of it.",5,"3.5 stars","3.5 stars","8-5-2009","2009/2/9","2 hrs"
"Quest for Imagination",25,0,"Post-Graduate","female","Viewer","Employed","Kids","34 mins","Summer",3131,"A movie that failed to impress on any level. Avoid.",10,"2.6 stars","2.4 stars","1-20-2005","2010/5/14","2 hrs"
"Mystic Whispers",52,0,"Completed College","female","Critic","Unemployed","Drama","28 mins","Summer",857,"I couldn't wait for this movie to be over. It was painful to watch, and I had no emotional investment in the characters.",24,"2.5 stars","2.7 stars","11-12-2010","2017/6/4","1 hrs"
"Crimson Echoes",20,0,"Post-Graduate","male","Viewer","Employed","Drama","20 mins","Fall",955,"A movie that lacked the depth I was hoping for.",10,"3.4 stars","3.4 stars","12-27-1995","2003/5/2","1 hrs"
"Legends Unleashed",80,0,"Post-Graduate","female","Critic","Retired","Action/Adventure","4 mins","Summer",4095,"A forgettable experience that fell flat in every aspect.",9,"2.2 stars","2.1 stars","7-26-2009","2015/6/1","2 hrs"
"Raiders of the Unknown",70,0,"Completed High School","female","Critic","Retired","Action/Adventure","42 mins","Summer",6957,"This movie was so bad it's almost impressive. I can't think of a single redeeming quality.",18,"2.3 stars","2.1 stars","2-7-2018","2019/2/23","1 hrs"
"Crazy Antics",53,3,"Completed College","male","Critic","Employed","Comedy","26 mins","Winter",6745,"It's not a standout film, but it's not terrible either.",12,"3.4 stars","3.2 stars","9-12-1992","1999/9/18","2 hrs"
"Empire of Shadows",31,1,"Completed College","female","Viewer","Employed","Action/Adventure","8 mins","Summer",9606,"It didn't wow me, but it was watchable.",9,"3 stars","2.8 stars","12-24-2017","2017/3/27","2 hrs"
"Enchanted Playtime",49,1,"Completed High School","female","Viewer","Unemployed","Kids","47 mins","Spring",1041,"A tapestry of emotions that tugged at my heartstrings.",9,"3.8 stars","3.7 stars","10-18-2004","2006/2/16","1 hrs"
