"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Journey to the Unknown",76,0,"Post-Graduate","female","Critic","Retired","Action/Adventure","12 mins","Summer",2537,"Total disaster, worst movie ever.",5,"2.1 stars","2.3 stars","11-7-2000","2007/3/7","2 hrs"
"Frozen in Time",47,1,"Post-Graduate","male","Viewer","Employed","Drama","21 mins","Winter",2736,"Highly recommended to all.",4,"3.6 stars","3.4 stars","3-20-1984","1991/4/16","2 hrs"
"Adventures of the Little Ones",35,1,"Post-Graduate","female","Viewer","Employed","Kids","49 mins","Summer",8607,"A true gem of cinema.",5,"4.1 stars","4.1 stars","10-28-1997","2005/12/10","1 hrs"
"Reflections of Reality",53,1,"Completed College","female","Viewer","Employed","Other","24 mins","Summer",2599,"A movie that failed to make a memorable impression.",9,"3.2 stars","3.1 stars","7-1-2019","2020/2/12","1 hrs"
"Enchanted Playtime",37,0,"Post-Graduate","female","Viewer","Student","Kids","19 mins","Spring",1041,"It's just an average movie, nothing special.",8,"3.1 stars","3.1 stars","6-5-2004","2006/6/28","1 hrs"
"Quest for Imagination",71,0,"Post-Graduate","male","Viewer","Retired","Kids","18 mins","Summer",3131,"A disaster from start to finish. Don't subject yourself to it.",12,"2.7 stars","2.7 stars","7-25-2005","2009/6/21","2 hrs"
"Lost in Time",34,0,"Completed College","female","Viewer","Unemployed","Drama","38 mins","Summer",8311,"An enchanting escape into a world of wonder.",8,"3.9 stars","4 stars","2-23-2019","2021/2/4","1 hrs"
"Magic of Childhood",52,0,"Completed College","female","Critic","Employed","Kids","47 mins","Winter",1036,"I can't believe I wasted my time on this film. The characters were unlikable, and the story was boring.",20,"1.9 stars","1.9 stars","1-17-2014","2020/2/21","1 hrs"
"Stellar Explorers",30,0,"Completed College","female","Viewer","Employed","Sci-Fi","40 mins","Fall",8106,"I'm neutral about this one, neither good nor bad.",10,"2.8 stars","2.9 stars","2-7-2013","2019/6/20","1 hrs"
"Whispers in the Dark",23,0,"Completed High School","male","Viewer","Unemployed","Horror","55 mins","Spring",2052,"It's just an average movie, nothing special.",8,"3 stars","2.9 stars","1-17-2020","2021/11/11","1 hrs"
"Rise of the Phoenix",19,1,"Completed College","male","Viewer","Student","Action/Adventure","1 mins","Winter",6613,"An adequate watch with some highs and lows.",8,"3.4 stars","3.5 stars","12-2-2006","2011/12/10","2 hrs"
"Silly Adventures",47,0,"Post-Graduate","female","Critic","Employed","Comedy","18 mins","Summer",607,"A lackluster effort that failed to engage or entertain.",9,"2.5 stars","2.4 stars","10-15-2018","2019/3/4","1 hrs"
"The Last Crusade",28,1,"Post-Graduate","female","Viewer","Unemployed","Action/Adventure","9 mins","Winter",4492,"An okay outing that didn't fully engage me.",9,"3 stars","3.1 stars","5-10-2015","2015/12/16","2 hrs"
"Visions of Valor",54,1,"Completed College","female","Viewer","Employed","Action/Adventure","32 mins","Fall",2574,"Regret watching this, waste of time.",6,"2.3 stars","2.4 stars","9-1-1987","1995/7/16","1 hrs"
"Silly Adventures",51,1,"Completed College","female","Viewer","Employed","Comedy","5 mins","Summer",607,"A heartfelt triumph that resonated with my soul.",8,"3.7 stars","3.6 stars","7-9-2018","2019/1/8","2 hrs"
"Raiders of the Unknown",75,0,"Post-Graduate","female","Viewer","Retired","Action/Adventure","29 mins","Summer",6957,"Neither remarkable nor forgettable - an average flick.",7,"3 stars","3 stars","11-15-2018","2020/11/17","2 hrs"
"The Hilarious Movie",44,0,"Post-Graduate","female","Viewer","Unemployed","Comedy","53 mins","Winter",1399,"An average outing that didn't leave a lasting impact.",10,"3 stars","3.2 stars","10-15-2014","2014/8/19","1 hrs"
"Empire of Shadows",29,0,"Completed High School","male","Viewer","Retired","Action/Adventure","26 mins","Summer",9606,"I had high hopes for this movie, but it let me down in every way. The plot was confusing, and the acting was terrible.",24,"2.7 stars","2.8 stars","11-21-2017","2019/2/3","2 hrs"
"Beneath the Surface",80,0,"Completed High School","female","Critic","Retired","Drama","31 mins","Fall",9202,"A triumphant celebration of life and love.",7,"3.6 stars","3.5 stars","1-7-2011","2017/6/25","1 hrs"
"Beyond Boundaries",62,0,"Completed High School","female","Viewer","Employed","Other","9 mins","Fall",8184,"Some moments were enjoyable, others were forgettable.",7,"3 stars","2.8 stars","9-6-2018","2019/6/25","2 hrs"
"Eternal Sunshine",49,2,"Post-Graduate","male","Viewer","Employed","Drama","26 mins","Summer",4603,"What a treat! This movie exceeded all my expectations. A true cinematic marvel.",13,"4.5 stars","4.3 stars","5-9-2017","2019/6/14","2 hrs"
"Adventures of the Little Ones",27,1,"Completed College","male","Viewer","Employed","Kids","29 mins","Summer",8607,"Elegantly executed with a compelling narrative.",6,"3.7 stars","3.8 stars","3-15-1997","2002/8/1","2 hrs"
