"title","age","children_in_home","education","gender","reviewer_type","work_status","genre","length_minutes","season","total_reviews","review_text","word_count","rating_first_watch","rating_second_watch","release_date","review_date","length_hours"
"Secret of the Ancients",35,1,"Completed College","male","Viewer","Employed","Action/Adventure","4 mins","Summer",9029,"A heartfelt and beautifully crafted cinematic journey.",7,"3.6 stars","3.4 stars","7-16-2020","2022/9/7","2 hrs"
"Whispers of Fate",80,0,"Completed College","female","Viewer","Employed","Drama","2 mins","Fall",8887,"I didn't love it, but I didn't hate it either.",12,"3 stars","3.1 stars","6-11-2009","2016/7/20","2 hrs"
"Lost in Time",55,0,"Completed College","male","Critic","Employed","Drama","34 mins","Summer",8311,"The worst film I've seen in years. It was painful to sit through, and I left the theater feeling angry and cheated.",23,"2.7 stars","2.7 stars","7-24-2019","2021/4/28","2 hrs"
"The Uncharted Journey",38,0,"Completed College","female","Viewer","Unemployed","Action/Adventure","24 mins","Fall",3948,"This film was a disappointment on every level. The pacing was off, and I couldn't connect with the characters.",20,"2.5 stars","2.3 stars","3-9-2007","2010/10/5","2 hrs"
"Echoes of Eternity",60,0,"Completed College","female","Viewer","Employed","Drama","33 mins","Summer",7245,"A remarkable testament to the power of storytelling.",8,"4.1 stars","4 stars","1-15-1998","2000/5/24","1 hrs"
"Enchanted Playtime",32,1,"Post-Graduate","female","Viewer","Employed","Kids","35 mins","Spring",1041,"A film that had its moments but didn't fully resonate.",11,"3.3 stars","3.1 stars","3-14-2004","2012/4/27","1 hrs"
"Eternal Sunshine",57,0,"Completed College","male","Viewer","Employed","Drama","8 mins","Summer",4603,"An absolute masterpiece! The performances, the music, and the visuals are all top-notch.",14,"4.1 stars","4.2 stars","7-25-2017","2018/9/14","2 hrs"
"Realm of Illusions",42,1,"Post-Graduate","female","Critic","Employed","Drama","24 mins","Summer",1520,"A film that had its moments but didn't fully deliver.",11,"2.8 stars","2.6 stars","9-28-2005","2011/6/28","2 hrs"
"Cursed Kingdom",20,0,"Completed College","female","Viewer","Student","Drama","35 mins","Summer",5101,"I was blown away by this film. It's a cinematic masterpiece that will stand the test of time.",19,"3.5 stars","3.5 stars","6-1-2000","2004/12/12","2 hrs"
"Hilarity Unleashed",75,0,"Completed College","female","Critic","Retired","Comedy","55 mins","Fall",7590,"A watchable effort with room for improvement.",7,"3.4 stars","3.5 stars","3-1-2019","2020/12/11","1 hrs"
